Title,Review
선재 업고 튀어,변우석이 선재여서 너무 고마운 드라마
선재 업고 튀어,올해 최고의 인생작  김혜윤 연기의 흡수력이 최고임  안본사람은 있어도 한번 본 사람은 없을거임     도 최고임 
선재 업고 튀어,쫀쫀한 스토리에 숨겨진 떡밥  복선을 찾아가는 재미가 쏠쏠하다  김혜윤 배우의 흡입력있는 연기력과 변우석 배우의   년생임이 믿기지 않는 청춘 비주얼  아름다운 색감까지 묘미이다
선재 업고 튀어,인생작입니다 너무 재밌었어요 캐스팅 찰떡 
선재 업고 튀어,우리가 찾던 바로 그 청춘 로맨스물  안 본 사람은 있어도 한번만 본 사람은 없는  늦지않게 정주행해야 하는 작품  연출진의 계산된 연출과 각본이 유치하지 않은 설렘으로 다가온다 
선재 업고 튀어,내 인생 첫 덕질의 길을 열어준 작품  선재 그 자체였던 변우석 배우에게 빠져보세요 
선재 업고 튀어,요즘 선재업고 튀어에 빠져있습니다  그 이유는
선재 업고 튀어,탄탄한 서사와 배우들의 연기력이 더해져 너무 재밌게 봤습니다 아련한 첫사랑이 떠오르는 드라마였어요 다시보기로 무한반복중
선재 업고 튀어,초여름이 될 때 마다 생각나는 인생 청춘 드라마   김혜윤 배우의 풋풋함과 뽀쟉함만으로도 너무 재밌다    부작임에도  년 동안 본 것 같은 탄탄한 서사가 있는 드라마는 처음 
선재 업고 튀어,김혜윤이 선재야하고 부르는 순간 우리는 그녀의 연기에 흠뻑 빠져든다  절절하게 우는 순간들 그녀가 대사가 나를 그곳에 데려가서 가둔거 같아  지금도선업튀가    중 
선재 업고 튀어,솔이가 너무 너무 사랑스럽습니다       
선재 업고 튀어,변우석 배우를 선업튀 전에 알았지만  팬으로 빠지게 해준 드라마 강추하는 드라마 원탑 
선재 업고 튀어,누군가의 팬이라면 설렐만한 드라마  원작과 내용이 다르지만 드라마만의 매력이 가득 담겨 있어요
선재 업고 튀어, 화 눈물 콧물    두배우 키차이       김혜윤배우의 청량함과 변우석배우의 잡아주는 연기가 드라마와 잘어울려서 기분좋아진다
선재 업고 튀어,인생작품입니다  볼수록 새롭고 재밌는 드라마는 처음입니다 
선재 업고 튀어,어 왜 이거 재밌어   
선재 업고 튀어,학창시절  대학시절 한번쯤 겪어보고 싶었던 청춘로맨스 그때 그시절    까지 너무 너무 잘어울리는 드라마 주인공들 연기도 연기지만 숨겨진 이야기들의 복선을 찾아보는 재미까지 쏠쏠
선재 업고 튀어,선재솔 넘 좋아요
선재 업고 튀어,평생 잊지못할 최고의드라마
선재 업고 튀어,모든것이 사랑스러운 작품 
선재 업고 튀어,눈물의여왕 저리가라 선업튀가 올해 최고작임
선재 업고 튀어,매화마다 레전드에 완벽한 스토리  
선재 업고 튀어,   화까지만 봐보세요 처음엔 오글거린다 생각할 수 있지만  곧 솔 선재의 매력에 푹 빠질 것입니다    그리고     년대 향수를 일으키는 시대고증 너무 킹받고 재밌어요  
선재 업고 튀어,내인생 최고의 변우석
선재 업고 튀어,정말 사랑스러운 드라마에요  변우석이 선재라 고마워요
선재 업고 튀어,탄탄한 스토리에 그야말로 여심 덕심 저격 빵빵
선재 업고 튀어, 화 엔딩으로 인해 이 이야기는 한층 깊어진다
선재 업고 튀어,별 생각 없이  화 틀었다가  화 끝나고 나도 모르게 선재야        외치게 되는 마법의 드라마
선재 업고 튀어,한국 청춘로코드라마의 최고봉이 이 작품이 될줄은 정말 몰랐다 
선재 업고 튀어,안녕하세요 여러분  저는 베트남 사람입니다  제 개인적인 생각으로는 러블리 러너는 신선하고 새로운 영화 중 하나이고  배우들은 프로페셔널하고  제가 가장 좋아하는 남자주인공 변우석
선재 업고 튀어,첨으로 두번 이상 보 드라마
선재 업고 튀어,내 인생작 삶의 활력소 완전 최고
선재 업고 튀어,저의 입덕드 인생드입니다
선재 업고 튀어,이런 타임물 평소에도 좋아하는 장르인데 좋아하는 배우 변우석이 주연으로 나와서 정말 좋아요  
선재 업고 튀어,선재에게 반해변우석에게 정착하게된 고마운 드라마
선재 업고 튀어,묻지밀고 따지지말고 봐야하는 인생작  변우석을 발견했다   
선재 업고 튀어,인생 드라마였다  모든게 완벽했던 드라마 
선재 업고 튀어,가벼운 마음으로 보다가 푹 빠지게 되는 매력 
선재 업고 튀어,개애애애앵잼
선재 업고 튀어,주연남녀배우의 연기와 시나리오 연출까지 모두 완벽한 드라마  특히 혜윤 배우의 연기는 최고입니다  
선재 업고 튀어,선재 업고 튀어 너무 재밌었어요  최고의 드라마   배우 변우석 배우 김혜윤의 연기가 최고   너무 설렘입니다   
선재 업고 튀어,내 인생드라마   내배우 변우석 평생 응원해  
선재 업고 튀어,최고의 드라마   배우 변우석 배우 김혜윤 너무 좋아합니다
선재 업고 튀어,재밌었고 태초선재를 구원할 수 있어서 좋았음
선재 업고 튀어,연출  연기  음악  배우  배경  편집 뭐 하나 빠지지 않음  피피엘도 없고 간만에 웰메이드 드라마 
선재 업고 튀어,한번도 안본 사람은 있어도 한 번만 본사람은 없어요 
선재 업고 튀어,왜 내가 설레 
선재 업고 튀어,제 인생드라마예요  배우 변우석을 이제 알게되어 너무 슬픈현실이지만 지금부터 평생 통통이될거예요  변우석배우님 연기 체고 
선재 업고 튀어,내 인생 드라마 올해 여름은 이 드라마와 배우 변우석을 알고 한없이 찬란했다 
선재 업고 튀어,작가 감독님들 배우들 합이 너무 좋았던것 같아요   언제 또 이런 작품을 볼 수 있을까요 
무빙,대한민국 최고의 스토리텔러가 디즈니의 자본력을 만났을 때
무빙,조금 다르고 특별할 뿐이야
무빙,한국도 엑스맨 같은거 만들 수 있었어  
무빙,스토리  연출 뭐 하나 빠지는 데가 없다  한번만 봐서는 아쉬운 드라마   차 정주행해야만 한다 
무빙,나에게는 어떤 능력이 좋을까나
