movie_title,review
퍼펙트 데이즈,세상에는 무례와 비매너에 화내는 동안 놓쳐지는 순간의 아름다움이 너무 많다. 비일상도 일상도 모두 내 세상이다. 나의 세상 안에서 부디 찰나의 아름다움을 다시는 놓치지 않기를
퍼펙트 데이즈,완벽하지 않아서 이미 완벽한 삶
퍼펙트 데이즈,"인생의 빙고 한 줄, 그렇게 우리에게 주어진 어느 멋진 날."
퍼펙트 데이즈,그림자를 아는 사람들의 해를 삼키는 하루하루의 철학
퍼펙트 데이즈,지금까지 올해의 최고작! 나이들어서 주인공처럼 늙을수 있으면 좋겠다고 생각했다 정갈하고 깨끗한 화면과 아름다운 음악이 좋다! 나도 일상의 가벼운 루틴속에서 하루 하루를 살아가고파
퍼펙트 데이즈,"웃고 있는데 울고 있다면, 울고 있는데 웃고 있다면, 당신은 완벽한 일상을 보내고 있다."
퍼펙트 데이즈,반복되는 일상이 지루하지 않은 이유
퍼펙트 데이즈,완전한 날이란 없다 하지만 불완전들 속에서 살아가기에 지루하지 않다
퍼펙트 데이즈,"기쁨이란 찾아오는 것이 아니라, 찾아내는 것."
퍼펙트 데이즈,반복과 여백이 겹겹이 쌓이면서 발견하게 되는 행복
퍼펙트 데이즈,소소한 일상의 행복과 도쿄의 갬성이 아름답게 어우러진 수작
퍼펙트 데이즈,"찬란하게 빛나는 찰나. 성실하고, 자기 일에 열심이며, 단정하고, 생명을 사랑할 줄 아는 인물의 매력. 음악이 굉장히 좋다. 인간에 대한 따뜻하고 애정 넘치는 시선이 사랑스럽다."
퍼펙트 데이즈,당신의 매일에 인사와 응원을..
퍼펙트 데이즈,잃어버린 ‘코모레비’를 찾아서 <퍼펙트 데이즈>
퍼펙트 데이즈,"습관처럼 읽던 책도 졸음 같은 고비를 이겨내고 결말을 맞이하듯이, 완벽한 날을 오르는 나의 여정도 언젠가 정상의 풍경을 마주하겠지?"
퍼펙트 데이즈,퍼펙트 데이즈
퍼펙트 데이즈,내 몫의 소신을 가지고 정갈하게 살아가기.
퍼펙트 데이즈,"완벽하지만 강박적이지 않은, 관조적이지만 에너지가 느껴지는. 문득, 높은 하늘과 코모레비를 바라보는 외로움. 그런 위로."
퍼펙트 데이즈,생각해 보니 일상이 영화가 될 수도 있겠구나
퍼펙트 데이즈,"닮고 싶지만 따를 수 없는 삶에 대한 동경, 살아보지 않았으나 그리운 삶에 대한 애틋함."
퍼펙트 데이즈,소소한 일상도 완벽하겠지만...공감이 가지는 않는
퍼펙트 데이즈,종려나무는 바다의 그림자를 꿈꾸는가
퍼펙트 데이즈,완벽하지 않은 하루는 오직 그 순간에만 느낄 수 있다
퍼펙트 데이즈,작위적이고 감상적인 장면들을 즐길 수 있다면.
퍼펙트 데이즈,불행해보일수도있는 평범한일상에 나를 녹이다..
퍼펙트 데이즈,주인공을 관찰하는 내가 마치 주인공인 것처럼 생각하게 되는 신기한 경험
퍼펙트 데이즈,"힐링영화도, 슬픈영화도 아니다. 삶의 양면성을 잘 담아낸 작품 같았다."
퍼펙트 데이즈,구석구석 촘촘히 직조한 히라야마 씨의 일상과 그의 과거사를 언뜻 비치게 하는 내러티브에 빨려든다. 흑백으로 보여주는 '코모레비'의 여운이 길다. 빔 벤더스. 2023. 4.5
